Compañía;País;Tipo;Ramo;Subramo;Moneda local; USD ;Año;Tasa de Cambio;AFILIADO
GENERALI;Panamá;Primas;Carga;;2.966.172;2.966.172;2013;1;NO AFILIADOS
GENERALI;Panamá;Primas;Cascos;;2.140.648;2.140.648;2013;1;NO AFILIADOS
EVEREST ;Chile;Siniestros;Carga;Transporte marítimo;953.610.886;1.135.860;2023;839,55;AFILIADO
GENERALI;Panamá;Siniestros;Carga;;513.745;513.745;2013;1;NO AFILIADOS
HDI ;Chile;Siniestros;Carga;Transporte marítimo;-60.695.804;-72.296;2023;839,55;AFILIADO
GENERALI;Panamá;Siniestros;Cascos;;272.257;272.257;2013;1;NO AFILIADOS
GENERALI;Panamá;Primas;Carga;;3.356.573;3.356.573;2012;1;NO AFILIADOS
GENERALI;Panamá;Primas;Cascos;;2.142.885;2.142.885;2012;1;NO AFILIADOS
GENERALI;Panamá;Siniestros;Carga;;291.303;291.303;2012;1;NO AFILIADOS
GENERALI;Panamá;Siniestros;Cascos;;409.102;409.102;2012;1;NO AFILIADOS
GENERALI;Panamá;Primas;Carga;;3.352.260;3.352.260;2011;1;NO AFILIADOS
SOUTHBRIDGE;Chile;Siniestros;Carga;Transporte marítimo;3.201.619.213;3.813.494;2023;839,55;AFILIADO
GENERALI;Panamá;Primas;Carga;;3.352.260;3.352.260;2011;1;NO AFILIADOS
GENERALI;Panamá;Primas;Cascos;;2.104.966;2.104.966;2011;1;NO AFILIADOS
GENERALI;Panamá;Primas;Cascos;;2.104.966;2.104.966;2011;1;NO AFILIADOS
ZURICH ;Chile;Siniestros;Carga;Transporte marítimo;852.896.965;1.015.898;2023;839,55;AFILIADO
GENERALI;Panamá;Siniestros;Carga;;360.559;360.559;2011;1;NO AFILIADOS
GENERALI;Panamá;Siniestros;Carga;;360.559;360.559;2011;1;NO AFILIADOS
GENERALI;Panamá;Siniestros;Cascos;;435.929;435.929;2011;1;NO AFILIADOS
GENERALI;Panamá;Siniestros;Cascos;;435.929;435.929;2011;1;NO AFILIADOS
HDI ;Chile;Siniestros;Cascos;Casco marítimo;261.931.931;311.991;2023;839,55;AFILIADO
GENERALI;Panamá;Primas;Carga;;2.413.292;2.413.292;2010;1;NO AFILIADOS
GENERALI;Panamá;Primas;Carga;;2.413.292;2.413.292;2010;1;NO AFILIADOS
GENERALI;Panamá;Primas;Cascos;;2.071.849;2.071.849;2010;1;NO AFILIADOS
GENERALI;Panamá;Primas;Cascos;;2.071.849;2.071.849;2010;1;NO AFILIADOS
GENERALI;Panamá;Siniestros;Carga;;497.518;497.518;2010;1;NO AFILIADOS
GENERALI;Panamá;Siniestros;Carga;;497.518;497.518;2010;1;NO AFILIADOS
SOUTHBRIDGE;Chile;Siniestros;Cascos;Casco marítimo;79.119.418;94.240;2023;839,55;AFILIADO
GENERALI;Panamá;Siniestros;Cascos;;415.312;415.312;2010;1;NO AFILIADOS
GENERALI;Panamá;Siniestros;Cascos;;415.312;415.312;2010;1;NO AFILIADOS
ZURICH ;Chile;Siniestros;Cascos;Casco marítimo;-1.880.135;-2.239;2023;839,55;AFILIADO
BCI;Chile;Primas;Cascos;;52.684.496;60.418;2022;872;AFILIADO
GENERALI ;Brasil;Primas;Carga;Nacional;101.478;20.313;2023;4,9956;NO AFILIADOS
GENERALI ;Brasil;Siniestros;Carga;Nacional;-71.530;-14.319;2023;4,9956;NO AFILIADOS
GENERALI ;Brasil;Siniestros;RC;Áereo;-35.843;-7.175;2023;4,9956;NO AFILIADOS
GENERALI ;Brasil;Primas;RC;Terrestre;-12.960;-2.594;2023;4,9956;NO AFILIADOS
HDI;Chile;Primas;Cascos;;2.282.310.016;2.617.328;2022;872;AFILIADO
GENERALI ;Brasil;Siniestros;RC;Terrestre;880.085;176.172;2023;4,9956;NO AFILIADOS
GENERALI ;Brasil;Primas;RC;Desvíos;-46.262;-9.261;2023;4,9956;NO AFILIADOS
GENERALI ;Brasil;Siniestros;RC;Desvíos;-56.760;-11.362;2023;4,9956;NO AFILIADOS
GENERALI ;Brasil;Siniestros;Cascos;;-455.352;-91.151;2023;4,9956;NO AFILIADOS
GENERALI BRASIL S.A.;Brasil;Primas;Carga;Transporte nacional;115.881;21.471;2021;5,3972;NO AFILIADOS
GENERALI BRASIL S.A.;Brasil;Primas;Carga;Transporte internacional;187.059;34.659;2021;5,3972;NO AFILIADOS
SOUTHBRIDGE;Chile;Primas;Cascos;;2.717.154.616;3.116.003;2022;872;AFILIADO
GENERALI BRASIL S.A.;Brasil;Siniestros;Carga;Transporte nacional;33.878;6.277;2021;5,3972;NO AFILIADOS
GENERALI BRASIL S.A.;Brasil;Siniestros;Carga;Transporte internacional;-116.644;-21.612;2021;5,3972;NO AFILIADOS
ZURICH;Chile;Primas;Cascos;;19.506.640;22.370;2022;872;AFILIADO
BCI;Chile;Primas;Carga;Terrestre;7.310.566.123;8.383.677;2022;872;AFILIADO
BCI;Chile;Primas;Carga;Marítima;2.708.668.325;3.106.271;2022;872;AFILIADO
BCI;Chile;Primas;Carga;Aéreo;56.412.011;64.693;2022;872;AFILIADO
GENTE;Brasil;Primas;Carga;Internacional;0;0;2018;3,6757;NO AFILIADOS
GENTE;Brasil;Primas;Carga;Nacional;0;0;2018;3,6757;NO AFILIADOS
GENTE;Brasil;Siniestros;Carga;Internacional;2;1;2018;3,6757;NO AFILIADOS
GENTE;Brasil;Siniestros;Carga;Nacional;-367;-100;2018;3,6757;NO AFILIADOS
GENTE;Brasil;Primas;Carga;Nacional;10.689.782;3.095.945;2016;3,452833333;NO AFILIADOS
GENTE;Brasil;Siniestros;Carga;Internacional;-519;-150;2016;3,452833333;NO AFILIADOS
GENTE;Brasil;Siniestros;Carga;Nacional;-3.093;-896;2016;3,452833333;NO AFILIADOS
GENTE;Brasil;Siniestros;Riesgos Petroleros;;-1.751;-507;2016;3,452833333;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Carga;;2.084.879.726;334.228;2019;6.237,89;NO AFILIADOS
GRUPO GENERAL;Paraguay;Siniestros;Carga;;483.708.175;77.544;2019;6.237,89;NO AFILIADOS
EVEREST;Chile;Primas;Carga;Marítima;331.530.644;380.196;2022;872;AFILIADO
GRUPO GENERAL;Paraguay;Primas;Carga;;2.705.384.850;471.219;2018;5741,25;NO AFILIADOS
GRUPO GENERAL;Paraguay;Siniestros;Carga;;800.622.419;139.451;2018;5741,25;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Carga;;2.615.477.186;464.359;2017;5632,45;NO AFILIADOS
HDI;Chile;Primas;Carga;Terrestre;5.813.788.182;6.667.188;2022;872;AFILIADO
HDI;Chile;Primas;Carga;Marítima;842.002.332;965.599;2022;872;AFILIADO
HDI;Chile;Primas;Carga;Aéreo;147.633.615;169.305;2022;872;AFILIADO
GRUPO GENERAL;Paraguay;Siniestros;Carga;;1.597.886.930;283.693;2017;5632,45;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Carga;;2.194.854.571;385.829;2016;5688,666667;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Cascos;;191.218.128;33.614;2016;5688,666667;NO AFILIADOS
GRUPO GENERAL;Paraguay;Siniestros;Carga;;561.698.230;98.740;2016;5688,666667;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Carga;;2.208.051.053;425.643;2015;5187,56;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Cascos;;158.970.680;30.645;2015;5187,56;NO AFILIADOS
GRUPO GENERAL;Paraguay;Siniestros;Carga;;702.272.382;135.376;2015;5187,56;NO AFILIADOS
GRUPO GENERAL;Paraguay;Siniestros;Cascos;;50.000.000;9.638;2015;5187,56;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Carga;;2.322.417.565;520.039;2014;4465,853489;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Cascos;;169.811.565;38.024;2014;4465,853489;NO AFILIADOS
GRUPO GENERAL;Paraguay;Siniestros;Carga;;370.481.703;82.959;2014;4465,853489;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Carga;;2.297.323.417;534.545;2013;4297,720837;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Carga;;2.297.323.417;534.545;2013;4297,720837;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Cascos;;243.897.968;56.751;2013;4297,720837;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Cascos;;243.897.968;56.751;2013;4297,720837;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Carga;;2.466.905.526;558.568;2012;4416,483556;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Carga;;2.466.905.526;558.568;2012;4416,483556;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Cascos;;199.461.456;45.163;2012;4416,483556;NO AFILIADOS
SOUTHBRIDGE;Chile;Primas;Carga;Terrestre;7.146.685.800;8.195.741;2022;872;AFILIADO
SOUTHBRIDGE;Chile;Primas;Carga;Marítima;18.500.292.995;21.215.932;2022;872;AFILIADO
SOUTHBRIDGE;Chile;Primas;Carga;Aéreo;72.088.553;82.670;2022;872;AFILIADO
GRUPO GENERAL;Paraguay;Primas;Cascos;;199.461.456;45.163;2012;4416,483556;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Carga;;2.268.989.835;541.869;2011;4187,339364;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Carga;;2.268.989.835;541.869;2011;4187,339364;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Cascos;;146.269.188;34.931;2011;4187,339364;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Cascos;;146.269.188;34.931;2011;4187,339364;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Carga;;1.775.593.695;375.102;2010;4733,629816;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Carga;;1.775.593.695;375.102;2010;4733,629816;NO AFILIADOS
GRUPO GENERAL;Paraguay;Primas;Cascos;;140.295.101;29.638;2010;4733,629816;NO AFILIADOS
ZURICH;Chile;Primas;Carga;Terrestre;3.755.296.595;4.306.533;2022;872;AFILIADO
ZURICH;Chile;Primas;Carga;Marítima;2.755.677.658;3.160.181;2022;872;AFILIADO
ZURICH;Chile;Primas;Carga;Aéreo;86.218.948;98.875;2022;872;AFILIADO
GRUPO GENERAL;Paraguay;Primas;Cascos;;140.295.101;29.638;2010;4733,629816;NO AFILIADOS
GUAYANA;Venezuela;Primas;Carga;;6.872.000;1.093.432;2015;6,2848;NO AFILIADOS
GUAYANA;Venezuela;Primas;Cascos;;1.495.000;237.876;2015;6,2848;NO AFILIADOS
GUAYANA;Venezuela;Siniestros;Carga;;30.000;4.773;2015;6,2848;NO AFILIADOS
HDI;Chile;Siniestros;Cascos;;436.987.104;501.132;2022;872;AFILIADO
GUAYANA;Venezuela;Primas;Carga;;2.573.000;408.925;2014;6,2921;NO AFILIADOS
GUAYANA;Venezuela;Primas;Cascos;;1.348.000;214.237;2014;6,2921;NO AFILIADOS
GUAYANA;Venezuela;Siniestros;Carga;;17.000;2.702;2014;6,2921;NO AFILIADOS
GUAYANA;Venezuela;Siniestros;Cascos;;41.000;6.516;2014;6,2921;NO AFILIADOS
GUAYANA;Venezuela;Primas;Carga;;2.197.000;349.607;2013;6,2842;NO AFILIADOS
GUAYANA;Venezuela;Primas;Cascos;;677.000;107.730;2013;6,2842;NO AFILIADOS
SOUTHBRIDGE;Chile;Siniestros;Cascos;;57.263.203;65.669;2022;872;AFILIADO
GUAYANA;Venezuela;Siniestros;Carga;;111.000;17.663;2013;6,2842;NO AFILIADOS
GUAYANA;Venezuela;Siniestros;Cascos;;10.000;1.591;2013;6,2842;NO AFILIADOS
ZURICH;Chile;Siniestros;Cascos;;1.329.036;1.524;2022;872;AFILIADO
BCI;Chile;Siniestros;Carga;Terrestre;5.421.882.649;6.217.755;2022;872;AFILIADO
BCI;Chile;Siniestros;Carga;Marítima;10.647.595.178;12.210.545;2022;872;AFILIADO
BCI;Chile;Siniestros;Carga;Aéreo;-3.659.368;-4.197;2022;872;AFILIADO
GUAYANA;Venezuela;Primas;Carga;;1.729.000;403.096;2012;4,2893;NO AFILIADOS
GUAYANA;Venezuela;Primas;Cascos;;487.000;113.538;2012;4,2893;NO AFILIADOS
GUAYANA;Venezuela;Siniestros;Carga;;504.000;117.502;2012;4,2893;NO AFILIADOS
GUAYANA;Venezuela;Siniestros;Cascos;;2.000;466;2012;4,2893;NO AFILIADOS
GUAYANA;Venezuela;Primas;Carga;;2.178.000;507.775;2011;4,2893;NO AFILIADOS
GUAYANA;Venezuela;Primas;Cascos;;323.000;75.304;2011;4,2893;NO AFILIADOS
GUAYANA;Venezuela;Siniestros;Carga;;757.000;176.486;2011;4,2893;NO AFILIADOS
GUAYANA;Venezuela;Siniestros;Cascos;;105.000;24.480;2011;4,2893;NO AFILIADOS
GUAYANA;Venezuela;Primas;Carga;;1.345.000;317.924;2010;4,230570411;NO AFILIADOS
GUAYANA;Venezuela;Primas;Cascos;;217.000;51.293;2010;4,230570411;NO AFILIADOS
GUAYANA;Venezuela;Siniestros;Carga;;58.000;13.710;2010;4,230570411;NO AFILIADOS
GUAYANA;Venezuela;Siniestros;Cascos;;485.000;114.642;2010;4,230570411;NO AFILIADOS
HDI;Argentina;Primas;Carga;Mercadería;4.236.121.074;4.627.264;2024;915,4699;NO AFILIADOS
HDI;Chile;Siniestros;Carga;Terrestre;3.438.260.562;3.942.959;2022;872;AFILIADO
HDI;Chile;Siniestros;Carga;Marítima;1.228.266.952;1.408.563;2022;872;AFILIADO
HDI;Chile;Siniestros;Carga;Aéreo;-316.534;-363;2022;872;AFILIADO
HDI;Argentina;Primas;Cascos;;363.740.777;397.327;2024;915,4699;NO AFILIADOS
HDI;Argentina;Siniestros;Carga;Mercadería;2.284.232.010;2.495.147;2024;915,4699;NO AFILIADOS
HDI;Argentina;Siniestros;Cascos;;197.111.362;215.312;2024;915,4699;NO AFILIADOS
HDI;Argentina;Primas;Carga;;2.631.702.471;8.891.515;2023;295,9791;NO AFILIADOS
HDI;Argentina;Primas;Cascos;;135.215.322;456.841;2023;295,9791;NO AFILIADOS
HDI;Argentina;Siniestros;Carga;;642.754.975;2.171.623;2023;295,9791;NO AFILIADOS
HDI;Argentina;Siniestros;Cascos;;79.855.086;269.800;2023;295,9791;NO AFILIADOS
HDI;Argentina;Primas;Carga;;1.371.818.458;10.482.011;2022;130,8736;NO AFILIADOS
HDI;Argentina;Primas;Cascos;;50.178.730;383.414;2022;130,8736;NO AFILIADOS
HDI;Argentina;SINIESTROS;Carga;;9.367.546;71.577;2022;130,8736;NO AFILIADOS
HDI;Argentina;SINIESTROS;Cascos;;16.409.090;125.381;2022;130,8736;NO AFILIADOS
HDI;Argentina;Primas;Carga;TRANSPORTE DE MERCADERIAS;767.992.333;8.077.056;2021;95,0832;NO AFILIADOS
HDI;Argentina;Primas;Cascos;TRANSPORTES Cascos;28.336.555;298.019;2021;95,0832;NO AFILIADOS
HDI;Argentina;Siniestros;Carga;TRANSPORTE DE MERCADERIAS;-2.090.635;-21.987;2021;95,0832;NO AFILIADOS
HDI;Argentina;Siniestros;Cascos;TRANSPORTES Cascos;15.915.810;167.388;2021;95,0832;NO AFILIADOS
HDI;Argentina;Primas;Carga;;375.362.098;5.322.292;2020;70,5264;NO AFILIADOS
HDI;Argentina;Primas;Cascos;;17.336.760;245.819;2020;70,5264;NO AFILIADOS
HDI;Argentina;Siniestros;Carga;;3.290.347;46.654;2020;70,5264;NO AFILIADOS
SOUTHBRIDGE;Chile;Siniestros;Carga;Terrestre;1.714.666.850;1.966.361;2022;872;AFILIADO
SOUTHBRIDGE;Chile;Siniestros;Carga;Marítima;3.531.099.329;4.049.426;2022;872;AFILIADO
SOUTHBRIDGE;Chile;Siniestros;Carga;Aéreo;29.757.224;34.125;2022;872;AFILIADO
HDI;Argentina;Siniestros;Cascos;;3.113.221;44.143;2020;70,5264;NO AFILIADOS
 HDI ;Argentina;Primas;Carga;Transporte mercaderías;200.154.382;4.150.290;2019;48,2266;NO AFILIADOS
HDI;Argentina;Primas;Cascos;;10.825.137;224.464;2019;48,2266;NO AFILIADOS
 HDI ;Argentina;Siniestros;Carga;Transporte mercaderías;3.675.958;76.223;2019;48,2266;NO AFILIADOS
HDI;Argentina;Siniestros;Cascos;;3.997.571;82.891;2019;48,2266;NO AFILIADOS
HDI;Argentina;Primas;Carga;;79.212.322;2.766.508;2018;28,6326;NO AFILIADOS
HDI;Argentina;Primas;Cascos;;5.718.877;199.733;2018;28,6326;NO AFILIADOS
HDI;Argentina;Siniestros;Carga;;2.616.061;91.367;2018;28,6326;NO AFILIADOS
ZURICH;Chile;Siniestros;Carga;Terrestre;828.002.811;949.545;2022;872;AFILIADO
ZURICH;Chile;Siniestros;Carga;Marítima;1.207.650.657;1.384.920;2022;872;AFILIADO
ZURICH;Chile;Siniestros;Carga;Aéreo;45.374.923;52.035;2022;872;AFILIADO
HDI;Argentina;Siniestros;Cascos;;1.629.863;56.923;2018;28,6326;NO AFILIADOS
HDI;Argentina;Primas;Carga;;49.301.801;2.979.452;2017;16,54727;NO AFILIADOS
HDI;Argentina;Primas;Cascos;;3.610.597;218.199;2017;16,54727;NO AFILIADOS
HDI;Argentina;Siniestros;Carga;;800.928;48.402;2017;16,54727;NO AFILIADOS
HDI;Argentina;Siniestros;Cascos;;1.941.413;117.325;2017;16,54727;NO AFILIADOS
HDI;Chile;Primas;Cascos;;50.411;1.828.473;2021;0,0276;AFILIADO
HDI;Argentina;Primas;Carga;;19.784.054;1.339.593;2016;14,7687;NO AFILIADOS
HDI;Argentina;Primas;Cascos;;1.802.990;122.082;2016;14,7687;NO AFILIADOS
HDI;Argentina;Siniestros;Carga;;370.572;25.092;2016;14,7687;NO AFILIADOS
HDI;Argentina;Siniestros;Cascos;;468.667;31.734;2016;14,7687;NO AFILIADOS
HDI;Argentina;Primas;Carga;;8.024.787;865.729;2015;9,2694;NO AFILIADOS
HDI;Argentina;Primas;Cascos;;1.307.542;141.060;2015;9,2694;NO AFILIADOS
HDI;Argentina;Siniestros;Carga;;916.795;98.906;2015;9,2694;NO AFILIADOS
HDI;Argentina;Siniestros;Cascos;;251.195;27.099;2015;9,2694;NO AFILIADOS
BCI;Chile;Primas;Carga;Terrestre;257.845;9.352.376;2021;0,0276;AFILIADO
HDI;Argentina;Primas;Carga;;7.295.595;898.764;2014;8,117363014;NO AFILIADOS
HDI;Chile;Primas;Carga;Terrestre;157.278;5.704.679;2021;0,0276;AFILIADO
HDI;Argentina;Primas;Cascos;;1.248.552;153.813;2014;8,117363014;NO AFILIADOS
HDI;Argentina;Siniestros;Carga;;972.530;119.809;2014;8,117363014;NO AFILIADOS
HDI;Argentina;Siniestros;Cascos;;652.690;80.407;2014;8,117363014;NO AFILIADOS
HDI;Argentina;Primas;Carga;;5.671.350;1.035.281;2013;5,478079178;NO AFILIADOS
HDI;Argentina;Primas;Cascos;;798.471;145.757;2013;5,478079178;NO AFILIADOS
SOUTHBRIDGE;Chile;Primas;Carga;Terrestre;67.358;2.443.163;2021;0,0276;AFILIADO
HDI;Argentina;Siniestros;Carga;;263.201;48.046;2013;5,478079178;NO AFILIADOS
HDI;Argentina;Siniestros;Cascos;;351.438;64.154;2013;5,478079178;NO AFILIADOS
HDI;Argentina;Primas;Carga;;5.089.024;1.118.103;2012;4,551481818;NO AFILIADOS
HDI;Argentina;Primas;Cascos;;532.408;116.975;2012;4,551481818;NO AFILIADOS
HDI;Argentina;Siniestros;Carga;;1.043.740;229.319;2012;4,551481818;NO AFILIADOS
HDI;Argentina;Siniestros;Cascos;;107.514;23.622;2012;4,551481818;NO AFILIADOS
HDI;Brasil;Primas;Carga;Nacional;13.103.979;2.430.759;2024;5,3909;NO AFILIADOS
HDI;Brasil;Siniestros;Carga;Nacional;4.909.365;910.676;2024;5,3909;NO AFILIADOS
HDI;Brasil;Primas;Carga;Internacional;6.841.267;1.269.040;2024;5,3909;NO AFILIADOS
HDI;Brasil;Siniestros;Carga;Internacional;3.088.220;572.858;2024;5,3909;NO AFILIADOS
SOUTHBRIDGE;Chile;Primas;Carga;Marítima;287.137;10.414.835;2021;0,0276;AFILIADO
BCI;Chile;Primas;Carga;Marítima;185.155;6.715.814;2021;0,0276;AFILIADO
HDI;Brasil;Primas;RC;Internacional;8.464.401;1.570.128;2024;5,3909;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Internacional;2.676.852;496.550;2024;5,3909;NO AFILIADOS
HDI;Brasil;Primas;RC;Aéreo;205.627;38.143;2024;5,3909;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Aéreo;35.921;6.663;2024;5,3909;NO AFILIADOS
HDI;Brasil;Primas;RC;Terrestre;38.804.925;7.198.228;2024;5,3909;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Terrestre;31.574.420;5.856.985;2024;5,3909;NO AFILIADOS
HDI;Brasil;Primas;RC;Desvíos;29.722.294;5.513.420;2024;5,3909;NO AFILIADOS
HDI;Chile;Primas;Carga;Marítima;22.170;804.135;2021;0,0276;AFILIADO
HDI;Brasil;Siniestros;RC;Desvíos;8.971.094;1.664.118;2024;5,3909;NO AFILIADOS
HDI;Brasil;Primas;RC;Acuaviario;46.406;8.608;2024;5,3909;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Acuaviario;852.803;158.193;2024;5,3909;NO AFILIADOS
HDI;Brasil;Primas;Carga;Nacional;11.719.141;2.270.491;2022;5,1615;NO AFILIADOS
HDI;Brasil;Primas;Carga;Internacional;6.325.620;1.225.539;2022;5,1615;NO AFILIADOS
HDI;Brasil;Primas;RC;Internacional;8.921.974;1.728.562;2022;5,1615;NO AFILIADOS
HDI;Brasil;Primas;RC;Aéreo;87.571;16.966;2022;5,1615;NO AFILIADOS
BCI;Chile;Primas;Carga;Aérea;7.942;288.067;2021;0,0276;AFILIADO
HDI;Brasil;Primas;RC;Terrestre;38.915.794;7.539.629;2022;5,1615;NO AFILIADOS
HDI;Brasil;Primas;RC;Desvíos;26.237.548;5.083.318;2022;5,1615;NO AFILIADOS
HDI;Chile;Primas;Carga;Aérea;3.001;108.850;2021;0,0276;AFILIADO
HDI;Brasil;Primas;RC;Acuaviario;15.525;3.008;2022;5,1615;NO AFILIADOS
SOUTHBRIDGE;Chile;Primas;Carga;Aérea;1.747;63.366;2021;0,0276;AFILIADO
HDI;Brasil;Siniestros;Carga;Nacional;8.377.385;1.623.052;2022;5,1615;NO AFILIADOS
HDI;Brasil;Siniestros;Carga;Internacional;1.261.133;244.335;2022;5,1615;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Internacional;3.419.178;662.439;2022;5,1615;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Aéreo;39.038;7.563;2022;5,1615;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Terrestre;25.530.657;4.946.364;2022;5,1615;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Desvíos;17.580.731;3.406.128;2022;5,1615;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Acuaviario;0;0;2022;5,1615;NO AFILIADOS
HDI;Brasil;Primas;Carga;Transporte nacional;9.521.273;1.764.113;2021;5,3972;NO AFILIADOS
HDI;Brasil;Primas;Carga;Transporte internacional;6.527.834;1.209.485;2021;5,3972;NO AFILIADOS
HDI;Brasil;Primas;RC;Transporte internacional;8.072.537;1.495.690;2021;5,3972;NO AFILIADOS
HDI;Brasil;Primas;RC;Aereo;102.975;19.079;2021;5,3972;NO AFILIADOS
HDI;Brasil;Primas;RC;Terrestre;26.969.968;4.997.030;2021;5,3972;NO AFILIADOS
HDI;Chile;Siniestros;Cascos;;38.615;1.400.610;2021;0,0276;AFILIADO
HDI;Brasil;Primas;RC;Desvio;16.909.405;3.132.996;2021;5,3972;NO AFILIADOS
HDI;Brasil;Primas;RC;Acuaviario;5.531;1.025;2021;5,3972;NO AFILIADOS
HDI;Brasil;Siniestros;Carga;Transporte nacional;3.890.354;720.810;2021;5,3972;NO AFILIADOS
HDI;Brasil;Siniestros;Carga;Transporte internacional;1.980.336;366.919;2021;5,3972;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Transporte internacional;3.326.698;616.375;2021;5,3972;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Aereo;0;0;2021;5,3972;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Terrestre;21.520.151;3.987.281;2021;5,3972;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Desvio;13.934.003;2.581.710;2021;5,3972;NO AFILIADOS
BCI;Chile;Siniestros;Carga;Terrestre;;0;2021;0,0276;AFILIADO
HDI;Brasil;Siniestros;RC;Acuaviario;0;0;2021;5,3972;NO AFILIADOS
HDI;Chile;Siniestros;Carga;Terrestre;;0;2021;0,0276;AFILIADO
HDI;Brasil;Primas;Carga;Nacional;8.249.407;1.600.801;2020;5,1533;NO AFILIADOS
HDI;Brasil;Primas;Carga;Internacional;4.048.698;785.652;2020;5,1533;NO AFILIADOS
HDI;Brasil;Primas;RC;Internacional;6.167.815;1.196.867;2020;5,1533;NO AFILIADOS
HDI;Brasil;Primas;RC;Aerea;53.343;10.351;2020;5,1533;NO AFILIADOS
HDI;Brasil;Primas;RC;Terrestre;15.207.421;2.951.006;2020;5,1533;NO AFILIADOS
SOUTHBRIDGE;Chile;Siniestros;Carga;Terrestre;;0;2021;0,0276;AFILIADO
HDI;Brasil;Primas;RC;Desvios;8.565.301;1.662.100;2020;5,1533;NO AFILIADOS
HDI;Brasil;Siniestros;Carga;Nacional;3.071.245;595.976;2020;5,1533;NO AFILIADOS
HDI;Brasil;Siniestros;Carga;Internacional;-2.926.490;-567.887;2020;5,1533;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Internacional;5.925.295;1.149.806;2020;5,1533;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Aerea;-80;-16;2020;5,1533;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Terrestre;12.113.212;2.350.574;2020;5,1533;NO AFILIADOS
HDI;Brasil;Siniestros;RC;Desvios;3.506.709;680.478;2020;5,1533;NO AFILIADOS
HDI;Brasil;Primas;Carga;Nacional;42.915.419;10.876.503;2019;3,9457;NO AFILIADOS
HDI;Brasil;Primas;Carga;Internacional;25.243.382;6.397.694;2019;3,9457;NO AFILIADOS
HDI;Brasil;Primas;Carga;Nacional;6.718.036;1.702.622;2019;3,9457;NO AFILIADOS
SOUTHBRIDGE;Chile;Siniestros;Carga;Marítima;;0;2021;0,0276;AFILIADO
BCI;Chile;Siniestros;Carga;Marítima;;0;2021;0,0276;AFILIADO
HDI;Brasil;Primas;Carga;Internacional;3.471.611;879.847;2019;3,9457;NO AFILIADOS
HDI;Brasil;Primas;RC;Ferrea;400;101;2019;3,9457;NO AFILIADOS
HDI;Brasil;Primas;RC;Terrestre;31.425.599;7.964.518;2019;3,9457;NO AFILIADOS
HDI;Brasil;Primas;RC;Desvios;21.309.546;5.400.701;2019;3,9457;NO AFILIADOS
HDI;Brasil;Primas;RC;Maritima;23.333;5.914;2019;3,9457;NO AFILIADOS
HDI;Brasil;Primas;RC;Internacional;5.460.309;1.383.863;2019;3,9457;NO AFILIADOS
HDI;Brasil;Primas;RC;Aerea;53.890;13.658;2019;3,9457;NO AFILIADOS
HDI;Chile;Siniestros;Carga;Marítima;;0;2021;0,0276;AFILIADO
HDI;Brasil;Primas;RC;Terrestre;11.456.384;2.903.511;2019;3,9457;NO AFILIADOS
HDI;Brasil;Primas;RC;Desvios;5.560.541;1.409.266;2019;3,9457;NO AFILIADOS
HDI;Brasil;Siniestros;Carga;Nacional;92.073.469;23.335.142;2019;3,9457;NO AFILIADOS
