Compañía;País;Tipo;Ramo;Subramo;Moneda local; USD ;Año;Tasa de Cambio;AFILIADO
FAIRFAX;Brasil;Primas;Riesgos Portuarios;;19.954.211;6.235.691;2017;3,2;AFILIADO
CHUBB;México;Siniestros;Cascos;;1.354.000;108.930;2011;12,43;AFILIADO
CHUBB;México;Siniestros;Cascos;;108.930;8.763;2011;12,43;AFILIADO
CHUBB;México;Siniestros;RC;;5.000;402;2011;12,43;AFILIADO
CHUBB;México;Siniestros;RC;;402;32;2011;12,43;AFILIADO
CHUBB;México;Primas;Carga;;84.483.000;6.681.579;2010;12,64416667;AFILIADO
CHUBB;México;Primas;Carga;;6.681.579;528.432;2010;12,64416667;AFILIADO
CHUBB;México;Primas;Cascos;;7.882.000;623.370;2010;12,64416667;AFILIADO
CHUBB;México;Primas;Cascos;;623.370;49.301;2010;12,64416667;AFILIADO
CHUBB;México;Primas;RC;;4.138.000;327.266;2010;12,64416667;AFILIADO
CHUBB;México;Primas;RC;;327.266;25.883;2010;12,64416667;AFILIADO
CHUBB;México;Siniestros;Carga;;69.930.000;5.530.614;2010;12,64416667;AFILIADO
CHUBB;México;Siniestros;Carga;;5.530.614;437.404;2010;12,64416667;AFILIADO
CHUBB;México;Siniestros;Cascos;;55.987.000;4.427.892;2010;12,64416667;AFILIADO
CHUBB;México;Siniestros;Cascos;;4.427.892;350.192;2010;12,64416667;AFILIADO
CHUBB;México;Siniestros;RC;;63.000;4.983;2010;12,64416667;AFILIADO
CHUBB;México;Siniestros;RC;;4.983;394;2010;12,64416667;AFILIADO
CHUBB;Panamá;Primas;Carga;Marítimo;1.411.624;1.411.624;2024;1;AFILIADO
CHUBB;Panamá;Siniestros;Carga;Marítimo;310.873;310.873;2024;1;AFILIADO
CHUBB;Panamá;Primas;Carga;Marítimo;1.098.773;1.098.773;2023;1;AFILIADO
CHUBB;Panamá;Siniestros;Carga;Marítimo;1.012.436;1.012.436;2023;1;AFILIADO
CHUBB;Panamá;Primas;Carga;TRANSPORTE DE Carga MARÍTIMO;1.164.829;1.164.829;2022;1;AFILIADO
CHUBB;Panamá;SINIESTROS;Carga;TRANSPORTE DE Carga MARÍTIMO;182.996;182.996;2022;1;AFILIADO
CHUBB;Panamá;Primas;Carga;TRANSPORTE DE Carga MARÍTIMO;973.262;973.262;2021;1;AFILIADO
CHUBB;Panamá;Siniestros;Carga;TRANSPORTE DE Carga MARÍTIMO;543.827;543.827;2021;1;AFILIADO
CHUBB;Panamá;Primas;Carga;MARITIMO;371.481;371.481;2020;1;AFILIADO
CHUBB;Panamá;Siniestros;Carga;MARITIMO;25.733;25.733;2020;1;AFILIADO
CHUBB;Panamá;Primas;Carga;;-256.196;-256.196;2019;1;AFILIADO
CHUBB;Panamá;Siniestros;Carga;;141.524;141.524;2019;1;AFILIADO
